item,type,venue_or_category,dimensions_searched,phase_a_candidates,kept,topic_only,dropped,phase_b_outcome,note
A Personalized Conversational Benchmark: Towards Simulating Personalized Conversations,publication,"NeurIPS Workshop on Multi-Turn Interactions in Large Language Models (MTI-LLM), 2025","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
A Survey on Model Extraction Attacks and Defenses for Large Language Models,publication,"KDD (Lecture-Style Tutorial Track), 2025","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
AD-AGENT: A Multi-agent Framework for End-to-end Anomaly Detection,publication,"Findings of IJCNLP-AACL, 2025","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
AD-LLM: Benchmarking Large Language Models for Anomaly Detection,publication,"ACL (Findings), 2025","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
DPU: Dynamic Prototype Updating for Multimodal Out-of-Distribution Detection,publication,"CVPR, 2025","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
DrugAgent: Automating AI-aided Drug Discovery Programming through LLM Multi-Agent Collaboration,publication,"AAAI Workshop on Foundation Models for Biological Discoveries (FMs4Bio), 2025","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
DyFlow: Dynamic Workflow Framework for Agentic Reasoning,publication,"NeurIPS, 2025","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
Edit Away and My Face Will Not Stay: Personal Biometric Defense against Malicious Generative Editing,publication,"CVPR, 2025","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
Few-Shot Graph Out-of-Distribution Detection with LLMs,publication,"ECML PKDD, 2025","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
From Selection to Generation: A Survey of LLM-based Active Learning,publication,"ACL, 2025","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
JailDAM: Jailbreak Detection with Adaptive Memory for Vision-Language Model,publication,"COLM, 2025","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
LLM-Empowered Patient-Provider Communication: A Data-Centric Survey From a Clinical Perspective,publication,"Findings of IJCNLP-AACL, 2025","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
Learning from the Storm: A Multivariate Machine Learning Approach to Predicting Hurricane-Induced Economic Losses,publication,"ACM SIGSPATIAL SpatialConnect Workshop, 2025","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
MetaOOD: Automatic Selection of OOD Detection Models,publication,"ICLR, 2025","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
NLP-ADBench: NLP Anomaly Detection Benchmark,publication,"EMNLP Findings, 2025","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
Navigating Between Explainability and Extractability in Machine Learning as a Service,publication,"IEEE ICDM BlueSky Track, 2025","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
PyOD 2: A Python Library for Outlier Detection with LLM-powered Model Selection,publication,"The Web Conference (Demo Track), 2025","D1,D3,D4,D6,D7,D8",2,1,0,1,kept,"DEV.to tutorial has dedicated ""PyOD 2 shipped exactly this"" section on LLM model selection; Qiita ""PyOD 20 algorithms"" is substring false positive."
Retrieval-Reasoning Large Language Model-based Synthetic Clinical Trial Generation,publication,"ACM BCB, 2025","D1,D3,D4,D6,D7,D8",2,0,0,2,none,Both hits are token-'retrieval' false positives: SURGeLLM workshop front matter (organizer role) and USC ICML PR. Neither cites 2410.12476.
Secure On-Device Video OOD Detection Without Backpropagation,publication,"ICCV, 2025","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
SocialMaze: A Benchmark for Evaluating Social Reasoning in Large Language Models,publication,"NeurIPS Workshop on Socially Responsible and Trustworthy Foundation Models (ResponsibleFM), 2025","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
TRUSTEVAL: A Dynamic Evaluation Toolkit on Trustworthiness of Generative Foundation Models,publication,"NAACL (Demo Track), 2025","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
Treble Counterfactual VLMs: A Causal Approach to Hallucination,publication,"EMNLP Findings, 2025","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
TyphoFormer: Language-Augmented Transformer for Accurate Typhoon Track Forecasting,publication,"ACM SIGSPATIAL, 2025","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
AutoDavis: Automatic and Dynamic Evaluation Protocol of Large Vision-Language Models on Visual Question-Answering,publication,"KDD D&B Track, 2026","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
Fast Unsupervised Deep Outlier Model Selection with Hypernetworks,publication,"KDD, 2024","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
Hyperparameter Optimization for Unsupervised Outlier Detection,publication,"AutoML, 2024","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
MultiOOD: Scaling Out-of-Distribution Detection for Multiple Modalities,publication,"NeurIPS, 2024","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
"Towards Reproducible, Automated, and Scalable Anomaly Detection",publication,"AAAI New Faculty Highlights, 2024","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
TrustLLM: Trustworthiness in Large Language Models,publication,"ICML, 2024","D1,D3,D4,D6,D7,D8",31,5,17,9,kept,"Genuine: ORNL report, Salesforce G7/OECD, FLI AI Safety Index, NTT Review, Korean proceedings. Rest are policy topic-validation or trustllm.eu collision."
ADGym: Design Choices for Deep Anomaly Detection,publication,"NeurIPS, 2023","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
ADMoE: Anomaly Detection with Mixture-of-Experts from Noisy Labels,publication,"AAAI, 2023","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
DSV: An Alignment Validation Loss for Self-supervised Outlier Model Selection,publication,"ECML/PKDD, 2023","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
Do Not Train It: A Linear Neural Architecture Search of Graph Neural Networks,publication,"ICML, 2023","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
TOD: GPU-accelerated Outlier Detection via Tensor Operations,publication,"VLDB, 2023","D1,D3,D4,D6,D7,D8",1,0,0,1,dropped,"Sole candidate is the TOD paper itself mirrored in NSF PAR: first-party academic mirror, dropped. No external coverage found."
ADBench: Anomaly Detection Benchmark,publication,"NeurIPS, 2022","D1,D3,D4,D6,D7,D8",14,7,3,4,kept,"Nature Communications data link, Chongqing patent, SFU syllabus, Chinese GitCode tutorial, and three arXiv papers use ADBench; four dropped are duplicates or first-party."
BOND: Benchmarking Unsupervised Outlier Node Detection on Static Attributed Graphs,publication,"NeurIPS, 2022","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
Contrastive Attributed Network Anomaly Detection with Data Augmentation,publication,"PAKDD, 2022","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
ELECT: Toward Unsupervised Outlier Model Selection,publication,"ICDM, 2022","D1,D3,D4,D6,D7,D8",5,0,0,5,dropped,"All five are substring false positives on 'elect' (electronic, selection); they cover COPOD, FlexRouter, PyOD. Zero records cite 2211.01834."
Automatic Unsupervised Outlier Model Selection,publication,"NeurIPS, 2021","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
Revisiting Time Series Outlier Detection: Definitions and Benchmarks,publication,"NeurIPS, 2021","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
SUOD: Accelerating Large-scale Unsupervised Heterogeneous Outlier Detection,publication,"MLSys, 2021","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
TODS: An Automated Time Series Outlier Detection System,publication,"AAAI (Demo), 2021","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
Therapeutics Data Commons: Machine Learning Datasets and Tasks for Drug Discovery and Development,publication,"NeurIPS, 2021","D1,D3,D4,D6,D7,D8",2,1,0,1,kept,Medex evaluates 63 TDC tasks and cites Huang et al. including Y. Zhao; TxGemma is genuine but already ledgered.
A Data Denoising Approach to Optimize Functional Clustering of Single Cell RNA-sequencing Data,publication,"IEEE BIBM, 2020","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
AutoAudit: Mining Accounting and Time-Evolving Graphs,publication,"IEEE BigData, 2020","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
COPOD: Copula-Based Outlier Detection,publication,"IEEE ICDM, 2020","D1,D3,D4,D6,D7,D8",6,4,0,2,kept,Two Nature papers run COPOD via PyOD; Tencent patent applies it; Chinese tutorial teaches it. Heise listing and Medium post dropped.
Combining Machine Learning Models using combo Library,publication,"AAAI (Demo), 2020","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
DSR: An Accurate Single Image Super Resolution Approach for Various Degradations,publication,"IEEE ICME, 2020","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
SUOD: Toward Scalable Unsupervised Outlier Detection,publication,"AAAI Workshop, 2020","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
SynC: A Copula based Framework for Generating Synthetic Data from Aggregated Sources,publication,"IEEE ICDMW, 2020","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
SynC: A Unified Framework for Generating Synthetic Population with Gaussian Copula,publication,"AAAI Workshop, 2020","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
LSCP: Locally Selective Combination in Parallel Outlier Ensembles,publication,"SDM, 2019","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
Music Artist Classification with Convolutional Recurrent Neural Networks,publication,"IJCNN, 2019","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
DCSO: Dynamic Combination of Detector Scores for Outlier Ensembles,publication,"KDD Workshop, 2018","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
Employee Turnover Prediction with Machine Learning: A Reliable Approach,publication,"IntelliSys, 2018","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
XGBOD: Improving Supervised Outlier Detection with Unsupervised Representation Learning,publication,"IJCNN, 2018","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
An Empirical Study of Touch-based Authentication Methods on Smartwatches,publication,"ISWC, 2017","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
Don’t Let It Hallucinate: Premise Verification via Retrieval-Augmented Logical Reasoning,publication,"Transactions on Machine Learning Research (TMLR), 2026","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
LEGO-Learn: Label-Efficient Graph Open-Set Learning,publication,"Transactions on Machine Learning Research (TMLR), 2025","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
NNG-Mix: Improving Semi-supervised Anomaly Detection with Pseudo-anomaly Generation,publication,"IEEE Transactions on Neural Networks and Learning Systems, 2024","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
Diffusion Models: A Comprehensive Survey of Methods and Applications,publication,"ACM Computing Surveys, 2023","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
The Need for Unsupervised Outlier Model Selection: A Review and Evaluation of Internal Evaluation Strategies,publication,"ACM SIGKDD Explorations Newsletter, 2023","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
Artificial Intelligence Foundation for Therapeutic Science,publication,"Nature Chemical Biology, 2022","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
ECOD: Unsupervised Outlier Detection Using Empirical Cumulative Distribution Functions,publication,"TKDE, 2022","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
PyOD: A Python Toolbox for Scalable Outlier Detection,publication,"JMLR, 2019.","D1,D3,D4,D6,D7,D8",1,0,0,1,dropped,"Sole match is the JMLR CSAIL mirror of the paper itself: first-party publication hosting, not external coverage."
MemoHarness: Agent Harnesses That Learn from Experience,publication,arXiv preprint,"D1,D3,D4,D6,D7,D8+D5",9,7,0,2,kept,"All nine genuinely cover MemoHarness. Japanese report tier-2, Saravia tweet and AINews tier-3; two dropped as duplicate republish and unstable snippet."
SkillCenter: A Large-Scale Source-Grounded Skill Library for Autonomous AI Agents,publication,arXiv preprint,"D1,D3,D4,D6,D7,D8+D5",6,5,0,1,kept,"STORIUM Korean editorial (tier-2) re-verified by fetch: names SkillCenter, SkillGate, exact counts. Four platform pages genuine; one same-outlet duplicate dropped."
Agent Safety Is Action Alignment,publication,arXiv preprint,"D1,D3,D4,D6,D7,D8+D5",6,5,1,0,kept,"Two dated digests (Tenkai, Korean briefing) name title plus arXiv:2606.28739; three paper-index/review pages confirm. Secrss article covers a different framework."
GRADE: Graph Representation of LLM Agent Dependency and Execution,publication,arXiv preprint,"D1,D3,D4,D6,D7,D8",13,4,2,7,kept,"Kept: EmergentMind topic page, papers.cool, weekinpapers, plus auditable PyPI citing arXiv:2606.22741. Generic 'grade' matches (Mistral cards, SEDIMARK) dropped."
SpecAlign: Efficient Specification-Grounded Alignment of Large Language Models via Synthetic Data,publication,arXiv preprint,"D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
DOG-DPO: Dynamic Optimization in Geometry for Safety Alignment,publication,arXiv preprint,"D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
MaskForge: Structure-Aware Adaptive Attacks for Jailbreaking Diffusion Large Language Models,publication,arXiv preprint,"D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
Memory Retrieval for Changing Preferences,publication,arXiv preprint,"D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
Can Subgraph Explanations Be Weaponized to Steal Graph Neural Networks?,publication,arXiv preprint,"D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
GEO-Bench: Benchmarking Ranking Manipulation in Generative Engine Optimization,publication,arXiv preprint,"D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
"CHI-Bench: Can AI Agents Automate End-to-End, Long-Horizon, Policy-Rich Healthcare Workflows?",publication,arXiv preprint,"D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
FORTIS: Benchmarking Over-Privilege in Agent Skills,publication,arXiv preprint,"D1,D3,D4,D6,D7,D8",53,0,19,34,topic-only,"Only ByteVanguard blog cites the paper, tier-dropped as already-tracked duplicate; other 'FORTIS' hits are lab-name tokens inside negative-scan notes."
"MedExAgent: Training LLM Agents to Ask, Examine, and Diagnose in Noisy Clinical Environments",publication,arXiv preprint,"D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
Geometry over Density: Few-Shot Cross-Domain OOD Detection,publication,arXiv preprint,"D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
Cat-DPO: Category-Adaptive Safety Alignment,publication,arXiv preprint,"D1,D3,D4,D6,D7,D8",1,0,0,1,dropped,"Only candidate is the arXiv page itself, already audit-tracked and excluded as first-party (Yi Nian, Yue Zhao authorship). No external coverage."
Auditable Agents,publication,"ACL Workshop on Towards Knowledgeable Foundation Models (KnowFM), 2026","D1,D3,D4,D6,D7,D8+D5",34,10,7,17,kept,"10 genuine citations (DEMM, AgentBound, width.com, TheAgentTimes), 7 topic-validation, 17 dropped/already-ledgered; counts over 34 deduped URLs, not 42 raw."
No Attacker Needed: Unintentional Cross-User Contamination in Shared-State LLM Agents,publication,arXiv preprint,"D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
AEGIS: No Tool Call Left Unchecked -- A Pre-Execution Firewall and Audit Layer for AI Agents,publication,arXiv preprint,"D1,D3,D4,D6,D7,D8",24,6,14,4,kept,Six cite arXiv:2603.12621 directly; Forrester AEGIS and NVIDIA Aegis2.0 are name collisions; 14 gov/analyst PDFs topic-only.
Agent Audit: A Security Analysis System for LLM Agent Applications,publication,arXiv preprint,"D1,D3,D4,D6,D7,D8",7,1,3,3,kept,arXiv 2605.19362 cites Agent Audit by title variant and repo URL; SitePoint and MIT AI Agent Index are token false positives.
Agent Banana: High-Fidelity Image Editing with Agentic Thinking and Tooling,publication,arXiv preprint,"D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
Benchmarking Knowledge-Extraction Attack and Defense on Retrieval-Augmented Generation,publication,"KDD D&B Track, 2026","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
Fairness or Fluency? An Investigation into Language Bias of Pairwise LLM-as-a-Judge,publication,arXiv preprint,"D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
Multimodal Generative Engine Optimization: Exploiting Cross-Modal Knowledge Grounding in VLM-Based Ranking,publication,"ACL Workshop on Towards Knowledgeable Foundation Models (KnowFM), 2026","D1,D3,D4,D6,D7,D8",1,0,0,1,dropped,Only candidate is USC Viterbi ACL 2026 roundup naming MGEO; genuine mention but excluded as first-party institutional PR.
The Autonomy Tax: Defense Training Breaks LLM Agents,publication,arXiv preprint,"D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
Tracing Moral Foundations in Large Language Models,publication,arXiv preprint,"D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
When Only the Final Text Survives: Implicit Execution Tracing for Multi-Agent Attribution,publication,arXiv preprint,"D1,D3,D4,D6,D7,D8+D5",14,8,0,6,kept,"Eight genuine: FALAT external citation, wispaper explainer, six aggregators. Six dropped: audit duplicates, first-party GRADE/Auditable Agents, 404, false ClimateLLM edge."
A Survey of Model Extraction Attacks and Defenses in Distributed Computing Environments,publication,arXiv preprint,"D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
A Systematic Study of Model Extraction Attacks on Graph Foundation Models,publication,arXiv preprint,"D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
Can Molecular Foundation Models Know What They Don't Know? A Simple Remedy with Preference Optimization,publication,arXiv preprint,"D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
ClimateLLM: Efficient Weather Forecasting via Frequency-Aware Large Language Models,publication,arXiv preprint,"D1,D3,D4,D6,D7,D8",1,0,0,1,dropped,"Only pool entry is the paper's own arXiv page, surfaced as a false Semantic Scholar citation edge for a different work. No coverage."
GLIP-OOD: Zero-Shot Graph OOD Detection with Graph Foundation Model,publication,arXiv preprint,"D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
Graph Synthetic Out-of-Distribution Exposure with Large Language Models,publication,arXiv preprint,"D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
LLM-Powered Text-Attributed Graph Anomaly Detection via Retrieval-Augmented Reasoning,publication,arXiv preprint,"D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
"Learning to Route LLMs from Bandit Feedback: One Policy, Many Trade-offs",publication,arXiv preprint,"D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
M3OOD: Automatic Selection of Multimodal OOD Detectors,publication,arXiv preprint,"D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
StealthRank: LLM Ranking Manipulation via Stealthy Prompt Optimization,publication,"ICML Workshop on Trustworthy AI for Good (AI4GOOD), 2026","D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
FlexRouter: Learning Complementary Model Sets for Flexible LLM Routing,publication,"COLM, 2026","D1,D3,D4,D6,D7,D8+D5",2,2,0,0,kept,"Both candidates genuinely name FlexRouter, COLM 2026, and Yue Zhao: Adobe coauthor-institution listing and official COLM accepted-papers page."
TAGFN: A Text-Attributed Graph Dataset for Fake News Detection in the Age of LLMs,publication,arXiv preprint,"D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
The Role of Computing Resources in Publishing Foundation Model Research,publication,arXiv preprint,"D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
A Large-Scale Simulation on Large Language Models for Decision-Making in Political Science,publication,arXiv preprint,"D1,D3,D4,D6,D7,D8",6,0,0,6,none,All six pool hits are SkillCenter records matched on the generic token 'a large'; nothing cites 2412.15291. Pure token collision.
Personalized Multimodal Large Language Models: A Survey,publication,arXiv preprint,"D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
Political-LLM: Large Language Models in Political Science,publication,arXiv preprint,"D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
PyOD,tool,Library,"D1,D3,D4,D6,D7,D8+D2",60,39,3,18,kept,Classified full 60-record pool from source JSONL (matrix showed 14). Drops include TechCrunch/Forbes PYOD name collisions and first-party JMLR mirror.
auditable,tool,Agent Auditing,"D1,D3,D4,D6,D7,D8+D2",46,1,2,43,kept,Pool is mostly Auditable Agents paper and awesome-auditable-ai false positives; only the PyPI page cites the tool repo. 46 deduped URLs.
awesome-auditable-ai,tool,Resource Hub,"D1,D3,D4,D6,D7,D8+D2",4,2,0,2,kept,HN comment links the exact repo; ecosyste.ms indexes it but fetch returned 402. First-party site and duplicate HN dropped.
AD-AGENT,tool,Platform,"D1,D3,D4,D6,D7,D8",1,1,0,0,kept,"Korean Daily Arxiv digest names the full AD-AGENT title, Yue Zhao, and PyOD/PyGOD integration. Aggregator tier but genuine."
TrustLLM,tool,Benchmark / Toolkit,"D1,D3,D4,D6,D7,D8",31,5,17,9,kept,"ORNL report, Salesforce G7/OECD filing, NTT Review (links HowieHwong repo), FLI Index, Korean proceedings all use the benchmark; 17 gov PDFs topic-only."
TrustEval-toolkit,tool,Benchmark / Toolkit,"D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
NLP-ADBench,tool,Benchmark,"D1,D3,D4,D6,D7,D8",0,0,0,0,none,no candidate matched this item in the 2026-07-19 pass
ADBench,tool,Benchmark,"D1,D3,D4,D6,D7,D8",14,7,3,4,kept,"Broad downstream adoption: Nature m6A data-availability link re-verified via PMC, Chinese patent, SFU syllabus, tutorial, three arXiv users; analyst reports topic-only."
Anomaly-Detection-Resources,tool,Resource Hub,"D1,D3,D4,D6,D7,D8",1,1,0,0,kept,"Zhejiang University data-mining lecture slides recommend the repo by name alongside PyOD and SUOD, with direct yzhao062 GitHub links (p.92)."
CS-Paper-Checklist,tool,Research Toolkit,"D1,D3,D4,D6,D7,D8",1,0,0,1,none,"Only pool entry is SourcePulse's agent-style page; 'cs-paper-checklist' appears solely in an audit-ledger cross-reference. False positive, no coverage."
SUOD,tool,Library / System,"D1,D3,D4,D6,D7,D8",2,2,0,0,kept,"Zhejiang University slides recommend the SUOD repo; Nature benchmark runs SUOD among eight PyOD detectors, citing PyOD rather than SUOD."
PyGOD,tool,Library,"D1,D3,D4,D6,D7,D8",1,1,0,0,kept,Single candidate: Korean AD-AGENT digest names PyGOD among integrated libraries. Genuine but secondary; the page covers AD-AGENT rather than PyGOD.
